Date,Time,Home,Away,Attendance,Venue
20 November 2022,19:00 (21:30),Qatar ,Ecuador,"67,372",Al Bayt Stadium
21 November 2022,16:00 (18:30),England,Iran,"45,334",Khalifa International Stadium
21 November 2022,19:00 (21:30),Senegal,Netherlands,"41,721",Al Thumama Stadium
21 November 2022,22:00 (00:30),USA,Wales,"43,418",Ahmed bin Ali Stadium
22 November 2022,13:00 (15:30),Argentina,Saudi Arabia,"88,012",Lusail Iconic Stadium
22 November 2022,16:00 (18:30),Denmark,Tunisia,"42,925",Education City Stadium
22 November 2022,19:00 (21:30),Mexico,Poland,"39,369",Stadium 974
22 November 2022,22:00 (00:30),France,Australia,"40,875",Al Janoub Stadium
23 November 2022,13:00 (15:30),Morocco,Croatia,"59,407",Al Bayt Stadium
23 November 2022,16:00 (18:30),Germany,Japan,"42,608",Khalifa International Stadium
23 November 2022,19:00 (21:30),Spain,Costa Rica,"40,013",Al Thumama Stadium
23 November 2022,22:00 (00:30),Belgium,Canada,"40,432",Ahmed bin Ali Stadium
24 November 2022,13:00 (15:30),Switzerland,Cameroon,"39,089",Al Janoub Stadium
24 November 2022,16:00 (18:30),Uruguay ,Korea Republic,"41,663",Education City Stadium
24 November 2022,19:00 (21:30),Portugal,Ghana,"42,662",Stadium 974
24 November 2022,22:00 (00:30),Brazil,Serbia,"88,103",Lusail Iconic Stadium
25 November 2022,13:00 (15:30),Wales,Iran,"40,875",Ahmed bin Ali Stadium
25 November 2022,16:00 (18:30),Qatar ,Senegal,"41,797",Al Thumama Stadium
25 November 2022,19:00 (21:30),Netherlands,Ecuador,"44,833",Khalifa International Stadium
25 November 2022,22:00 (00:30),England,USA,"68,463",Al Bayt Stadium
26 November 2022,13:00 (15:30),Tunisia,Australia,"41,823",Al Janoub Stadium
26 November 2022,16:00 (18:30),Poland,Saudi Arabia,"44,259",Education City Stadium
26 November 2022,19:00 (21:30),France,Denmark,"42,860",Stadium 974
26 November 2022,22:00 (00:30),Argentina,Mexico,"88,966",Lusail Iconic Stadium
27 November 2022,13:00 (15:30),Japan, Costa Rica,"41,479",Ahmed bin Ali Stadium
27 November 2022,16:00 (18:30),Belgium,Morocco,"43,738",Al Thumama Stadium
27 November 2022,19:00 (21:30),Croatia,Canada,"44,374",Khalifa International Stadium
27 November 2022,22:00 (00:30),Spain,Germany,"68,895",Al Bayt Stadium
28 November 2022,13:00 (15:30),Cameroon,Serbia,"39,789",Al Janoub Stadium
28 November 2022,16:00 (18:30),Korea Republic,Ghana,"43,983",Education City Stadium
28 November 2022,19:00 (21:30),Brazil,Switzerland,"43,649",Stadium 974
28 November 2022,22:00 (00:30),Portugal,Uruguay,"88,668",Lusail Iconic Stadium
29 November 2022,18:00 (20:30),Ecuador,Senegal,"44,569",Khalifa International Stadium
29 November 2022,18:00 (20:30),Netherlands, Qatar,"66,784",Al Bayt Stadium
29 November 2022,22:00 (00:30),Iran,USA,"42,127",Al Thumama Stadium
29 November 2022,22:00 (00:30),Wales,England,"44,297",Ahmed bin Ali Stadium
30 November 2022,18:00 (20:30),Australia,Denmark,"41,232",Al Janoub Stadium
30 November 2022,18:00 (20:30),Tunisia,France,"43,627",Education City Stadium
30 November 2022,22:00 (00:30),Saudi Arabia,Mexico,"84,985",Lusail Iconic Stadium
30 November 2022,22:00 (00:30),Poland,Argentina,"44,089",Stadium 974
01 December 2022,18:00 (20:30),Canada,Morocco,"43,102",Al Thumama Stadium
01 December 2022,18:00 (20:30),Croatia,Belgium,"43,984",Ahmed bin Ali Stadium
01 December 2022,22:00 (00:30),Costa Rica ,Germany,"67,054",Al Bayt Stadium
01 December 2022,22:00 (00:30),Japan,Spain,"44,851",Khalifa International Stadium
02 December 2022,18:00 (20:30),Korea Republic,Portugal,"44,097",Education City Stadium
02 December 2022,18:00 (20:30),Ghana, Uruguay,"43,443",Al Janoub Stadium
02 December 2022,22:00 (00:30),Cameroon,Brazil,"85,986",Lusail Iconic Stadium
02 December 2022,22:00 (00:30),Serbia,Switzerland,"41,378",Stadium 974
03 December 2022,18:00 (20:30),Netherlands,USA,"44,846",Khalifa International Stadium
03 December 2022,22:00 (00:30),Argentina,Australia,"45,032",Ahmed bin Ali Stadium
04 December 2022,18:00 (20:30),France,Poland,"40,989",Al Thumama Stadium (Neutral Site)
04 December 2022,22:00 (00:30),England,Senegal,"65,985",Al Bayt Stadium
05 December 2022,18:00 (20:30),Japan,Croatia,"42,523",Al Janoub Stadium
05 December 2022,22:00 (00:30),Brazil,Korea Republic,"43,847",Stadium 974
06 December 2022,18:00 (20:30),Morocco,Spain,"44,667",Education City Stadium
06 December 2022,22:00 (00:30),Portugal,Switzerland,"83,720",Lusail Iconic Stadium
09 December 2022,18:00 (20:30),Croatia,Brazil,"43,893",Education City Stadium
09 December 2022,22:00 (00:30),Netherlands,Argentina,"88,235",Lusail Iconic Stadium
10 December 2022,18:00 (20:30),Morocco,Portugal,"44,198",Al Thumama Stadium
10 December 2022,22:00 (00:30),England,France,"68,895",Al Bayt Stadium
13 December 2022,22:00 (00:30),Argentina,Croatia,"88,966",Lusail Iconic Stadium
14 December 2022,22:00 (00:30),France,Morocco,"68,294",Al Bayt Stadium
17 December 2022,18:00 (20:30),Croatia,Morocco,"44,137",Khalifa International Stadium
18 December 2022,18:00 (20:30),Argentina,France,"88,966",Lusail Iconic Stadium
